Período;Região;Instituição;Localização Geográfica;Nº Atendimentos em Urgência SU Triagem Manchester -Vermelha;Nº Atendimentos em Urgência SU Triagem Manchester -Laranja;Nº Atendimentos em Urgência SU Triagem Manchester -Amarela;Nº Atendimentos em Urgência SU Triagem Manchester -Verde;Nº Atendimentos em Urgência SU Triagem Manchester -Azul;Nº Atendimentos em Urgência SU Triagem Manchester -Branca;Nº Atendimentos s\ Triagem Manchester
2024-05;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;162;5319;29551;21386;1051;875;246
2024-06;Região de Saúde do Centro;Unidade Local de Saúde da Cova da Beira, EPE;40.2776794433594, -7.0;73;2287;21980;10210;118;1753;44
2024-06;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, EPE;38.67381, -9.17597;371;8453;27777;33678;2592;790;374
2024-06;Região de Saúde do Centro;Unidade Local de Saúde de Dão-Lafões, EPE;40.6509, -7.91039;252;8911;33096;25028;949;3470;8901
2024-06;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, EPE;37.024668, -7.928949;556;25137;80952;70230;2472;6840;1560
2024-06;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;292;7672;40386;35198;571;1415;21
2024-06;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave, EPE;41.3422317504883, -8.0;165;5868;33734;24003;430;1518;5
2024-07;Região de Saúde LVT;Hospital de Cascais, PPP;38.730076, -9.418207;227;10457;30708;45125;620;143;1
2024-07;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;39.232503, -8.715083;183;9540;32413;24640;755;566;76
2024-07;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;405;14743;44077;80818;2527;2722;1943
2024-07;Região de Saúde do Centro;Unidade Local de Saúde de Dão-Lafões, EPE;40.6509, -7.91039;303;10347;39837;28974;1387;4180;9154
2024-07;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE;41.310331, -7.760103;277;11296;83022;37488;885;3812;6
2024-07;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE;41.1254463195801, -8.0;272;8243;59568;31332;1199;2743;1787
2024-07;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.802452, -6.768198;192;4959;36436;16977;481;2410;138
2024-07;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa, EPE;41.1971153671548, -8.0;583;17009;52138;31680;949;9932;8949
2024-08;Região de Saúde LVT;Hospital de Cascais, PPP;38.730076, -9.418207;244;11741;34767;51179;734;155;1
2024-08;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;39.232503, -8.715083;207;10644;36908;27802;846;643;99
2024-08;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE;41.383183, -8.758784;172;3958;19953;19040;803;1;1220
2024-08;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;457;16533;50198;91610;2997;3117;2048
2024-08;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, EPE;38.7500648498535, -9.0;552;13831;54738;53093;3307;1636;1665
2024-08;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, EPE;37.024668, -7.928949;786;34146;114076;96325;3299;9133;2309
2024-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;185;6030;27094;26651;744;1376;
2024-08;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;40.130297609, -8.8606;74;3475;28150;15920;95;787;124
2024-08;Região de Saúde LVT;Unidade Local de Saúde do Oeste, EPE;39.4055519104004, -9.0;309;11856;49978;50454;1739;2867;655
2024-08;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa, EPE;41.1971153671548, -8.0;644;19369;59893;38281;1095;11412;10105
2024-09;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, EPE;40.636332, -8.654388;457;16214;71734;35648;1968;6262;310
2024-09;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;521;18687;56725;102474;3391;3544;2108
2024-09;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga, EPE;40.9295, -8.54567;477;18125;82658;45165;1461;709;290
2024-09;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE;41.1254463195801, -8.0;349;10339;76268;40078;1581;3477;2366
2024-09;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;40.130297609, -8.8606;83;3849;31271;17614;102;869;181
2024-10;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309943471486, -7.0;286;7306;43104;31224;2011;1502;118
2024-10;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;39.232503, -8.715083;269;13122;46048;34087;1054;831;274
2024-10;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental, EPE;38.7084, -9.21711;207;8879;39189;49116;2476;3264;7721
2024-10;Região de Saúde Norte;Unidade Local de Saúde de São João, EPE;41.1833, -8.60193;843;20474;79678;36407;6103;0;77816
2024-10;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;436;12905;68666;59261;1015;2510;40
2024-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.0146, -7.86863;250;9507;51198;33973;1277;796;392
2024-11;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, EPE;40.636332, -8.654388;545;19993;88466;43158;2389;7856;366
2024-11;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, EPE;39.7418, -8.79444;732;14731;70823;50093;1605;3954;809
2024-11;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, EPE;38.67381, -9.17597;691;15222;50365;58647;4104;1838;1903
2024-11;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;635;23199;69903;126911;4181;4305;2252
2024-11;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas, EPE;38.821769, -9.176301;275;11779;53991;31618;1267;1127;1312
2024-11;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, EPE;38.7500648498535, -9.0;804;19827;77234;72544;4426;2358;2456
2024-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;248;7956;36499;36505;979;1954;
2024-12;Região de Saúde LVT;Hospital de Cascais, PPP;38.730076, -9.418207;371;18431;52636;76943;1199;249;16
2024-12;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, EPE;38.67381, -9.17597;774;17021;55608;62766;4213;2097;2074
2024-12;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;707;9356;74081;51366;4994;804;110018
2024-12;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave, EPE;41.3422317504883, -8.0;328;11359;66478;44530;853;2933;6
2024-12;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;594;14725;72328;60298;1449;4082;437
2013-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;35;880;2326;4441;26;224;25
2013-01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;10;247;2802;1910;15;149;2099
2013-01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;28;679;2484;3375;40;429;321
2013-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;62;1218;7628;11463;129;404;1831
2013-01;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;127;2403;8459;4689;433;159;8421
2013-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;49;1136;3395;2081;150;136;4
2013-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;;;;;;;15819
2013-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;59;1661;4456;8406;53;434;166
2013-02;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;95;2277;6340;4917;130;308;10200
2013-02;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;125;2909;12900;6255;112;6500;828
2013-02;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;;;;;;;20444
2013-03;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;78;1803;5763;4054;90;748;5618
2013-03;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;104;2665;9963;4668;64;1302;14229
2013-03;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;66;1692;8454;6132;74;479;
2013-03;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;175;4664;16185;15415;92;2860;17129
2013-03;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;205;5174;25099;15108;293;;141
2013-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;;;;;;;31940
2013-04;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;102;2367;7805;5438;115;1030;7338
2013-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;59;803;10792;7660;55;534;7588
2013-04;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;332;7875;31229;15818;182;2459;44
2013-04;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;533;10439;37729;16014;143;1688;30937
2013-04;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;67;1906;12236;10026;71;271;16
2013-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;90;2157;11211;8102;115;620;
2013-04;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;185;2273;12129;7822;74;1523;25976
2013-04;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;262;4483;28984;44690;476;1249;7197
2013-04;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;153;4978;13853;16737;144;7;24
2013-04;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;259;5556;13392;10842;1780;588;16524
2013-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;435;8993;32918;18686;1687;716;30337
2013-04;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;211;6080;28610;18261;1188;4935;151
2013-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;209;7090;26115;19458;88;265;
2013-05;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;;;;;;;36373
2013-05;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;124;3133;14345;6761;52;2153;28903
2013-05;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;335;7676;26855;32294;2075;2013;19120
2013-05;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;370;8088;27895;28277;304;1652;
2013-05;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;187;6214;17780;21017;191;9;25
2013-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;118;2890;10890;18027;160;643;
2013-05;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;50;2139;10440;16775;145;1295;0
2013-05;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;199;4979;16506;10206;549;718;45
2013-05;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;117;3307;24168;10916;95;1250;8931
2013-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;101;3580;14894;3496;147;1397;38836
2013-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;78;1136;16086;11411;94;823;11164
2013-06;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;765;15448;57797;24447;224;2388;45961
2013-06;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;404;9249;28733;19592;392;3151;25300
2013-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;418;6589;43751;67853;727;1731;8821
2013-06;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;187;4716;21112;9925;77;3214;27107
2013-06;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;706;16933;38920;65628;3050;5970;588
2013-06;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;132;3332;13025;21408;186;796;
2013-06;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;314;8925;43824;27370;400;4212;580
2013-06;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;54;2617;12627;19910;171;1564;
2013-07;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;236;6345;24256;11003;154;3135;42938
2013-07;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;89;1354;19126;13549;103;997;12609
2013-07;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;891;18254;67643;28079;244;2763;52802
2013-07;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;104;3053;21493;17469;113;472;24
2013-07;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;502;7660;51117;79904;833;1972;8914
2013-07;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;262;8508;25012;29446;283;11;28
2013-07;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;260;7948;29750;29021;151;3274;4130
2013-07;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;153;3865;15374;25259;222;952;
2013-07;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;67;3087;14757;22920;208;1866;
2013-08;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;619;15934;62737;30894;396;4732;75
2013-08;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;590;12388;44048;43661;498;2553;
2013-08;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;302;8998;34063;32454;177;3712;4754
2013-08;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;802;17621;68080;38956;3504;1494;59209
2013-08;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;248;9427;34411;50083;646;3203;541
2013-09;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;238;5186;18080;12631;279;2464;15233
2013-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;;;;;;;69442
2013-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;318;8534;32059;14211;186;3971;72279
2013-09;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;125;3834;28175;21992;158;640;32
2013-09;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;177;4523;24991;17559;253;1385;
2013-09;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;80;3796;18646;28708;294;2412;
2013-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;212;7560;23032;41938;263;2434;3271
2013-10;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;381;5319;30743;20286;179;3920;62772
2013-10;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;575;13711;36176;28518;5463;1532;36892
2013-10;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;780;9876;67327;18304;651;1874;11392
2013-10;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;210;5326;22292;35648;355;1398;
2013-10;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;91;4123;20678;31752;319;2688;
2013-11;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;135;2044;30174;20470;152;1526;18368
2013-11;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;;;;;;;79159
2013-11;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;417;5888;33356;22259;250;4228;69259
2013-11;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;756;16263;58485;70670;4625;3535;39070
2013-11;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;1081;23904;91932;51849;4675;2074;84632
2013-11;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;658;16350;74060;35447;460;34097;3575
2013-11;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;230;5876;24542;39007;373;1520;
2013-11;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;933;17650;66513;74131;413;7478;12552
2013-12;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;815;17788;63550;76551;5022;3705;43121
2013-12;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;936;17954;64398;64581;772;3901;
2013-12;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;1367;32387;76611;136489;6630;11537;1011
2013-12;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;335;13452;52017;75354;948;5092;411
2013-12;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;945;12280;80306;21275;755;2296;13614
2013-12;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;735;17725;93666;48226;2609;16512;431
2013-12;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;726;18062;101337;63078;1478;;451
2014-01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;28;593;2129;1385;33;174;1915
2014-01;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;55;1317;4179;4200;22;388;5944
2014-01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;49;1711;8552;4114;201;1874;96
2014-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;39;986;7137;2673;16;280;11
2014-02;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;29;400;5486;3066;13;229;3541
2014-02;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;112;2178;16147;13857;310;298;
2014-02;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;119;3258;9390;6551;123;924;8793
2014-02;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;;;;;;;14211
2014-02;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;76;1403;6270;5966;118;211;12261
2014-02;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;94;2557;7912;7704;44;687;11361
2014-02;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;172;3556;10650;10435;97;618;
2014-02;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;133;3221;17004;10455;158;;106
2014-02;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;27;1066;4228;6247;45;536;
2014-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;43;605;8449;4594;17;339;5251
2014-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;375;8201;27700;10250;105;885;23114
2014-03;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;310;8496;19002;35654;1360;2761;290
2014-03;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;205;4680;25631;16109;265;;144
2014-03;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;36;1517;6246;9247;79;803;
2014-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;55;2502;9714;1849;73;729;26663
2014-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;;;;;;;31687
2014-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;59;810;11228;6064;31;439;6800
2014-04;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;180;2451;11127;7174;261;1358;26859
2014-04;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;285;5937;20848;23999;1525;944;14941
2014-04;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;399;11128;25142;47159;1824;3689;353
2014-04;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;215;4588;11692;10009;718;515;20458
2014-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;453;8378;31910;17245;1582;791;32857
2014-04;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;100;2381;8763;13796;142;491;
2014-04;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;44;1950;8213;12160;113;1087;
2014-05;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;109;3155;10489;6615;178;884;9432
2014-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;70;3092;12354;2377;85;898;33241
2014-05;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;342;10504;30995;12436;184;3336;37344
2014-05;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;62;1866;14368;12243;97;360;14
2014-05;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;71;2526;14626;8886;132;542;
2014-05;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;332;4101;27818;30319;496;458;43050
2014-05;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;143;4540;17832;8439;55;2386;23849
2014-05;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;194;7909;30904;42537;747;141;77
2014-05;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;263;5716;14754;12901;940;656;25864
2014-05;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;148;6022;22551;29740;331;2089;185
2014-05;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;168;4266;31679;12166;123;1413;44
2014-06;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;733;15919;55651;21358;282;1768;44522
2014-06;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;461;9859;31503;29988;313;1964;
2014-06;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;585;16325;37913;70672;2853;5556;1433
2014-06;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;162;6932;26783;36070;386;2532;206
2014-06;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;393;8893;52480;31811;575;;235
2014-06;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;233;9845;39728;29384;231;527;
2014-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;;;;;;;55566
2014-07;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;100;2632;20292;16940;136;502;21
2014-07;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;;;;;;;49917
2014-07;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;225;4885;21964;21125;1003;620;40109
2014-07;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;270;10768;43040;58535;1069;220;99
2014-07;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;269;9329;29956;28407;1141;6;25
2014-07;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;278;9658;31467;26584;166;2245;3985
2014-07;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;667;18690;44209;82094;3393;6502;1484
2014-07;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;427;11142;47883;21132;305;22179;1132
2014-07;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;649;13028;45732;44090;319;4760;7897
2014-08;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;99;1582;23196;11672;56;985;13178
2014-08;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;396;8447;64468;55166;1659;1188;
2014-08;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;317;4804;23289;14312;527;2739;50670
2014-08;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;510;6334;44844;49871;849;717;65079
2014-08;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;522;11758;70346;42899;823;;301
